опошление  выпрямление 
неординарность  обыденность повседневность прозаичность 
посевная площадь  целина 
сообразность  неадекватность 
изголовье  изножье 
углубление  приход 
защита  нападение обвинение вторжение 
злободневность  неактуальность несовременность 
упрочнение  ослабление 
умница  глупец дурак тупица 
приток  отток 
косность  динамизм мобильность расцвет 
хищник  жертва 
стемма  слепота 
наука  невежество 
восстановление  демонтаж 
клиентура  продавцы 
язычество  единобожие 
умереть и не встать  бедный 
бездорожье  дорога 
односложность  распространенность 
антагонизм  союзничество 
модерн  старомодность устарелость 
непонятность  ясность 
народоправство  тоталитаризм 
выделение  скрывание 
приближение  отдаление удаление 
горесть  радость счастье 
непостоянность  непрерывность 
паблисити  бесславие 
выезд  въезд приход 
элита  база 
дисбаланс  согласованность уравновешенность 
чрезмерность  дефицит мера 
убыстрение  замедление запаздывание остановка 
легковесность  обстоятельность основательность положительность фундаментальность 
разоружение  милитаризация 
метек  соотечественник 
договор  спор 
энтузиаст  противник 
геройство  трусость малодушие 
топление  застывание 
мягчение  волнение 
принуждение  свобода 
выиск  потеря 
неуместность  своевременность 
педалирование  торможение 
юность  старость ветхость дряхлость обветшалость 
сиюминутность  медлительность 
прирост  отход 
дружба  вражда 
результат  неудача 
материализм  идеализм 
накаливание  охлаждение 
воскрешение  убийство 
контактность  малообщительность стеснительность 
эскизность  точность 
зарождение  конец окончание падение смерть 
недосягаемость  осуществимость 
надежда  безнадежность отчаяние разочарование 
непрактичность  выгодность 
копеечность  расточительность 
рукопись  черновик 
галантность  упрощенность 
непроизводительность  достаточность продуктивность эффективность 
начинание  остановка 
изоляция  кооперация объединение открытие соединение соединенность 
урон  прибыль 
знаток  невежда 
расстояние  близость 
фугитивность  постоянство 
западное направление  восток 
небезграничность  многообразие 
долгота  краткость лаконизм немногословность сжатость 
дороговизна  дешевизна 
безверие  вера 
шуруп  командир 
непослушность  покладистость уступчивость 
попирание  уважение 
дряхлость  юность 
недостача  излишек избыток изобилие присутствие 
сходство  различие 
накопительство  мотовство 
комплементарность  несоответствие 
неэффективность  отдача плодотворность производительность 
дитя  уничтожение 
интенсификация  редукция уменьшение 
укрытие  обличение 
вербовщик  рабочий 
плазмон  спуск 
многочлен  одночлен 
стереодекодер  шифровальщик 
ум  глупость сердце чувство 
данные  бездарность 
покрытие  разбрасывание 
беспроигрышность  неустойчивость 
демилитаризация  вооружение 
приземленность  непрактичность необычность 
поднятие  опускание 
друг  враг враг 
новизна  старина 
недостоверность  определенность точность уверенность 
коренной житель  иностранец 
параномия  согласие 
покупатель  продавец 
прислуживание  святотатство 
вспышка  затухание 
вознаграждение  возмездие вычет наказание порицание расплата 
лицо  жират жирант 
секретутка  руководитель 
выдержка  горячность 
замазка  процветание 
неколебимость  сгибаемость 
препоручение  недоверие 
квадруплекс  разрозненность 
хитрость  простота простодушие честность 
грубость  вежливость ласковость учтивость деликатность ласка нежность корректность 
виновность  невинность правота неповинность непричастность 
ересь  реальность реальность 
черная меланхолия  веселье 
залатывание  поломка 
колония  выселение 
точность  недостоверность 
дерзновенность  малодушие 
бесполезность  нужность утилитарность эффективность 
польза  вред ущерб 
недоучка  профессионал 
хвальба  порицание 
амортизация  обновление усиление 
голодание  изобилие 
шатание  уверенность 
флюс  многосторонность 
утопичность  жизненность 
козырь  низ 
плач  смех 
полюс  типаж 
неволя  богатство 
лапидарность  многословность подробность размытость распространенность 
банкротство  удача 
погода  ненастье 
чистюля  грязнуля 
туманность  понятность четкость ясность 
конфликт  согласованность 
несамостоятельность  автономия автономность независимость свобода суверенитет 
неслышность  ясность 
досада  удовлетворение 
несбыточность  возможность выполнимость исполнимость 
проходимость  недоступность 
чадо  предок 
застывание  разреженность 
щегольство  убожество 
неверие  вера 
беда  удача 
очаровывание  освобождение 
беспрестанность  прерывистость 
дедукция  посылка 
ямища  возвышенность 
полдень  полночь 
экстренность  медлительность 
ненормальность  адекватность 
строповка  ослабление 
доверчивость  подозрительность 
бессознательность  разумность 
секвестирование  увеличение 
деление  объединение синтез совмещение умножение 
нераздельность  прерывность 
деятель  созерцатель 
объективность  предвзятость предубежденность пристрастность тенденциозность 
усваивание  потеря 
возвышение  унижение котловина опущение понижение яма упадок 
сродность  непохожесть 
дорога  бездорожье 
слитность  частичность 
тори  либерал 
офитство  презрение 
красота  безобразие уродство 
часть  целое 
ионтофорез  заключение 
безотложность  несрочность 
вывоз  ввоз импортирование 
принятие  отчисление 
удобопонятность  невразумительность 
лишение  находка 
нечленимость  раздельность 
женитьба  развод 
окольцовка  развод 
субординация  независимость 
эвритмия  неравномерность 
должник  кредитор 
выпячивание  прогиб 
толщина  тонкость худоба худощавость 
убожество  богатство зажиточность роскошь 
аналогичность  различие 
семантика  незначительность 
волчий закон  законность 
нелюбовь  дружелюбие 
монолитность  разъединение 
угнетение  освобождение свобода 
восток  запад 
праздник  печаль 
наклон  снижение 
удар  бестактность 
довольство  бедность 
отзывчивость  равнодушие неприятие ненависть презрение мизантропия 
индифферентность  заинтересованность 
незнакомство  знание 
устье  исток 
умеренность  расточительность 
будничность  помпезность пышность торжественность экстраординарность 
зрение  слепота 
цельность  делимость разрывность разъединение 
стыдоба  честь 
торжественность  будничность 
запасание  растрата 
домострой  прогрессивность 
верховенство  подчинение 
заключение  начало освобождение открытие 
укрепление  распадение расшатывание снижение спад 
смельчак  трус 
заготовка  продажа 
несрочность  безотлагательность незамедлительность спешность 
блокирование  открытие разрешение 
передок  задок 
тупица  умница 
бесперебойность  прерывистость 
контрдовод  согласие 
богатство  бедность нищета нужда скудость 
фантастика  реальность действительность 
отважность  трусость 
соразмерность  диспропорция дисгармония 
индоссатор  жирант 
провал  удача 
монофобия  бесстрашие 
асимметрия  соизмеримость соразмерность 
ветреность  основательность 
гладкость  разноцветие 
озорничанье  красота 
ригидность  гибкость 
разгадывание  запрещение 
эластичность  жесткость 
роялти  включение 
усиление  амортизация облегчение опускание ослабление падение понижение снижение спад уменьшение упадок усечение 
даровитость  бездарность 
скупец  мот расточитель 
утрясание  вражда 
нежность  грубость 
акт  бездействие 
власть  безвластие бессилие повиновение подчинение 
дебет  кредит 
неважность  значимость 
смехотворность  серьёзность 
первая ласточка  преемник 
шаржирование  преуменьшение 
хула  хвала 
быль  сказка 
кризис  изообилие 
упругость  твердость 
фрахтователь  наемник 
излишек  недостаток дефицит 
смирение  восстание 
впадина  гора холм 
туземец  иностранец 
эмбарго  разрешение 
истасканность  незаурядность 
шаткость  равновесие стабилизация 
обновление  амортизация износ 
восхождение  падение 
улучшение  ухудшение изнашивание осложнение повреждение поломка порча регресс упадок 
финиш  старт начало отправление пуск 
несущественность  значительность судьбоносность 
спутанность  единообразие 
вздымание  опущение 
несмешение  перемешивание 
сопоставление  теза 
безвластие  власть 
варварство  развитость 
учтивость  грубость 
затруднение  легкость 
необъективность  непредвзятость 
умелость  неработоспособность 
участок  близость 
непоколебимость  недолговечность 
гиперболизация  литота преуменьшение уменьшение 
метафизичность  конкретность 
хаотичность  упорядоченность гармония порядок 
многообразие  монотонность 
поражение  победа 
рутинность  гибкость 
банальность  незаурядность необыкновенность самобытность 
сплюснутость  ослабление 
покой  тревога буря волнение 
угрюмость  веселость 
вынесение  ввод 
военспец  профан 
амбре  аромат 
заморозка  ускорение 
мобильность  статичность 
миролюбие  враждебность 
излучение  поглощение 
ритурнель  начало 
контроверза  согласие 
горечь  сладость сласть 
деза  правда 
несовместность  непротиворечивость 
авария  починка счастье благополучие 
обострение  притупление ослабление 
взлёт  падение посадка понижение спад 
синтезирование  анализ 
бесплодие  плодородие 
купля  продажа потеря 
несогласованность  взаимосвязь связь связи 
адепт  противник противница 
исчезновение  появление 
уловка  честность 
напутанность  порядок 
атомарность  сложность 
капитулярий  преступление 
обхватывание  увеличение 
высказанность  недоговорка недомолвка умолчание 
акцентирование  уравнивание 
тахикардия  торможение 
выплата  убыток 
благословение  проклятие 
активность  инертность депрессия бездельничанье безделье праздность лень 
бледность  яркость румянец 
выпрямление  выгиб изгиб искажение перегиб прогиб сгиб 
спячка  бодрствование 
вторжение  защита невмешательство 
спокойствие  волнение тревога 
генерация  расформирование 
заменитель  оригинал 
извилистость  настильность 
просторность  узость 
подлавливание  сокрытие 
деревня  город 
расчистка  захватывание 
абитуриент  выпускник 
нажим  свобода 
халатность  внимание 
правление  подчинение 
конкретность  отрицательность 
константность  нестабильность неустойчивость переменность 
недальновидность  предусмотрительность 
замораживатель  дефростер 
иноземка  землячка соотечественница 
союзник  враг противник 
метафизик  диалектик 
полузнайка  ученый 
крепчание  уменьшение 
тотальность  ущербность 
добавка  сбавка скидка удержание 
нереальность  факт явь 
недоброжелатель  друг 
снятие  установление 
избыток  недостаток 
подначальность  свобода 
мот  накопитель скупец 
итог  причина 
северозапад  юговосток 
легкомысленность  серьезность 
согласие  отказ раздор возражение 
набор  увольнение 
товарищество  вражда 
исчислимость  бесчисленность многочисленность несметность несчетность 
напрасность  успех 
неуспех  выигрыш 
мутность  прозрачность 
эрудиция  невежество 
непроглядность  прозрачность 
торговая интеллигенция  покупатель 
достаток  бедность 
забойка  изъятие 
игнорирование  почитание учитывание 
лилипут  великан 
исполин  карлик пигмей 
работа  безделье бездеятельность праздность 
неразвитость  процветание 
округление  точность 
сезонность  равномерность 
утопизм  осуществимость 
заимодатель  должник 
объект  субъект 
радость  горе печаль страдание скорбь горесть мука 
упрощение  увеличение 
обеззараживание  загрязнение 
замена  оригинал оставление 
оптимист  пессимист 
тяга  расход нерентабельность 
очаг  периферия 
анализирование  синтез 
удаление  введение 
неудовлетворение  сатисфакция 
изолированность  кооперация соединение 
усложнение  упрощение вульгаризация облегчение 
внимательность  небрежность рассеянность халатность 
укоренение  ослабление 
выдох  вдох 
высчитывание  прибавление 
поддержание  срыв 
мель  глубина 
изъявление  сокрытие 
остолбенение  подвижность 
допотопность  современность 
упущение  тщательность 
человеконенавистничество  гуманность 
неподвижность  движение мобильность 
прохлада  зной жара духота 
демократия  тоталитаризм 
неорганизованность  подтянутость 
дружок  конкурент 
посильность  сложность 
непостоянство  логичность неизменяемость преемственность решительность стабильность уверенность устойчивость 
закабаление  освобождение 
творец  разрушитель 
чёт  нечёт 
недомолвка  высказанность определенность откровенность 
гром  тишина 
компаньон  конкурент 
убийство  воскрешение 
финал  интродукция начало открытие преамбула 
непрестанность  прерывистость 
увязка  разъединение рассогласованность 
неактивность  энергичность 
высушивание  ирригация 
изничтожение  возрождение 
помощь  помеха 
монотонность  многообразие разнообразие разноцветие разноцветность 
вхождение  выход 
нерешительность  безапелляционность императивность категоричность незыблемость неизменность непобедимость постоянство твердость уверенность ультимативность 
вдох  выдох 
выпуск  впуск 
автономия  зависимость 
пальмовая ветвь  война 
гибель  спасение жизнь развитие 
неисчерпаемость  конечность ограниченность 
растягивание  сжатие 
неповинность  виновность 
отобрание  приобретение 
процент  наказание 
заминка  возобновление поспешность 
отчизна  чужбина 
заглушение  заведение 
замирение  ссора развязывание 
прополка  загрязнение 
утилитарность  бесполезность 
способность  несоответствие 
фундамент  верх вершина потолок шпиль 
реформа  регресс 
оппонентка  соратница 
вероятность  достоверность невозможность 
ненадобность  нужность 
утайка  афиширование 
вольная волюшка  неволя 
мизантропия  гуманность человечность 
наложение  рассоединение 
разграничивание  объединение 
всеобщность  частность 
доблесть  малодушие 
срастание  разъединение 
невнимание  почитание сосредоточенность 
многословность  краткость лаконизм лапидарность сжатость 
неделимость  раздельность 
усталость  бодрость 
случайность  произвольность 
юго-восток  северо-запад 
рукоделие  отдых 
зажигание  подавление 
выступ  выемка 
истирание  создание 
виктория  разгром 
суша  водоём вода 
закалка  неустойчивость 
тонус  застой 
унижение  возвышение 
нищенство  роскошь 
неуловимость  приметность 
презрение  учитывание 
система  часть 
манускрипт  фальшивка 
грязнуля  чистюля 
отступление  соблюдение 
перевешивание  подчинение 
гора  впадина долина 
неуверенность  бесспорность очевидность решительность 
лаконизм  долгота многословность распространенность 
беспроволочный телеграф  телевидение 
трудолюбие  лень 
мучение  наслаждение блаженство 
дарование  бездарность 
священство  мирянин 
прокол  успех 
беспристрастие  предвзятость предубежденность субъективность 
победоносность  неуверенность 
лень  трудолюбие 
противник  сторонник соратник 
второстепенность  важность значимость значительность судьбоносность тяжесть 
лестность  негативность 
неравнозначность  равносильность равноценность 
отграничивание  соединение 
безвредность  опасность 
основание  периферия 
линия  горизонталь 
шаблонность  ребристость 
алчность  бескорыстие 
скупость  расточительность расточительство 
предшественник  преемник 
безраздельность  ограниченность 
эквивалентность  неравноценность 
увядание  расцвет 
уник  банальность 
неоднородность  гомогенность единообразие одинаковость однообразность одноцветность 
нравственность  порочность 
мизогамия  симпатия 
переделка  легкость 
логика  случайность 
нестандартность  стереотипность шаблонность 
значительность  безразличие 
самозапирание  открытие 
юбилей  будни 
малодоказательность  обоснованность 
доминирование  подчинение 
единство  рассогласованность рассогласованность 
внедрение  ликвидация 
реверс  аверс фронт 
несоответствие  пропорциональность 
уныние  веселье 
наступательность  пассивность 
несомненность  спорность 
освободитель  поработитель притеснитель угнетатель 
храбрость  трусость боязнь малодушие страх трусливость 
впечатлительность  невосприимчивость 
уместность  неразумность нерациональность несвоевременность 
выдворение  вселение заселение помещение поселение 
выносливость  неработоспособность 
несовместимость  непротиворечивость согласие сочетаемость 
отгороженность  соединимость 
инерция  деятельность 
выгиб  выпрямление 
удовольствие  неудовлетворение 
молодость  старость 
императивность  нерешительность 
юг  север норд 
замедленность  неотложность спешность срочность 
телодвижение  пассивность 
инвалидность  трудоспособность 
ультимативность  нерешительность 
благоденствие  разорение упадок 
пассив  плюс 
установка  демонтаж разборка 
умник  глупец дурак 
жират  индоссант 
забота  расточительность 
нарушение  верность возрождение воссоздание выполнение исполнение использование исправление подтверждение починка регенерация реставрация соблюдение 
аккуратность  непунктуальность нерадивость неряшливость размытость 
сотоварищ  конкурент 
тюрьма  воля 
тревога  покой спокойствие надежность успокоение 
недоедание  изобилие 
дисгармония  согласие созвучие строй 
перевод  доход накопление 
длина  краткость размах широта 
дурак  мудрец умник умница 
ненависть  филантропия 
правота  виноватость виновность 
коллизия  единство мир 
алогичность  последовательность связность стройность 
антитезис  тезис 
огромность  исчислимость нерепрезентабельность 
общепризнанность  оспоримость 
благородство  низость подлость 
вопрос  ответ отклик реакция 
фикция  подлинник 
решительность  трусость 
вонь  аромат 
трудоспособность  инвалидность 
переметничество  верность 
неотложность  замедленность медлительность 
рождаемость  смертность 
загадка  отгадка разгадка 
непрочность  твердость 
говорун  молчальник молчун 
обстоятельность  ветреность легковесность поверхностность 
минутка  вечность 
потачка  пресечение 
безрассудность  осторожность 
благосостояние  бедность крушение нищета упадок 
загорание  потухание 
бедняк  богач богатей 
нестационарность  неподвижность 
помпа  будничность 
тучность  худоба 
трагедия  комедия счастье 
бездельничанье  активность 
отбывание  прибытие 
трудноразличимость  заметность 
несчетность  исчислимость 
обширность  узость 
задок  передок 
разбалансировка  согласованность 
непослушание  непрекословие 
блистательность  обычность 
несхожесть  одинаковость равенство сродство сходство тождество тождественность 
невыгодность  польза рентабельность 
неиспользование  перегрузка 
клиент  продавец 
обнаружение  потеря сокрытие утаивание 
коррекция  поломка порча 
удачливость  невезение 
безволие  воля 
обрывочность  полнота 
инертность  активность деятельность предприимчивость энергичность 
реставрирование  разрушение 
рефрактерность  подверженность 
дело  бездействие 
выигрыш  вред 
возвеличивание  порицание 
нежный возраст  старость 
жатва  сев 
узость  широта всеобщность многосторонность обширность полнота пространность ширина 
диспропорциональность  соразмерность 
холм  впадина выбоина рытвина ухаб 
бренность  вечность 
норд  юг 
беспорядочность  системность 
убавление  надбавка увеличение подъём 
разборчивость  безрассудность нестрогость 
насыщение  дефицит недостаток 
консолидирование  разъединение 
тишь  шум 
удовлетворение  досада недовольство протест 
корректность  неправильность 
ирригация  высушивание 
строительство  разрушение 
втулкаь  отмычка 
властитель  раб 
ястреб  пацифист 
смысл  бессмысленность бессмыслие бессмыслица 
неподготовленность  опытность 
гомруль  колониализм 
добросовестность  небрежность 
литота  гипербола гиперболизация преувеличение утрирование 
княжество  республика 
кара  награда 
зад  перед 
плавность  прерывистость 
всеохватность  частичность 
утонение  расширение 
операция  дизъюнкция 
наклонение  повышение 
горячность  холодность 
дилетант  профессионал специалист 
расшифровщик  шифратор 
деградирование  рост 
безучастность  сочувствие 
вступление  послесловие 
многосторонность  однобокость узость 
ретроградство  прогрессивность 
фальшь  единодушие 
накопитель  мот расточитель транжира 
формация  капитализм 
исключительность  обыкновенность обычность 
порывание  начало 
холодность  мягкость 
властелин  раб слуга 
взвихрение  снижение 
усечение  увеличение усиление 
сдержка  прибавка 
значительный вес  второстепенность 
эрудит  невежда неуч 
интеграция  разъединение распад 
венесекция  сокрытие 
крылатость  бескрылость 
рай  ад преисподняя 
фурор  неудача 
человеколюбие  жестокость 
убыточность  выгодность 
безумие  разумность 
непоследовательность  полнота порядок 
загадочность  нормальность 
примирение  раздор ссора 
адаптация  отвыкание 
обвинение  защита оправдание реабилитация 
вялость  проворство прогресс расцвет резвость стремительность 
негибкость  мягкость 
выгодность  непрактичность нерентабельность убыточность 
деликатность  грубость 
недосол  пересол 
лентяйство  деятельность 
отпечаток  вонь 
составление  разборка 
уравновешивание  колебание 
импульсивность  произвольность 
дискретность  непрерывность 
отсталость  прогресс 
герой  трус 
безучастие  сочувствие 
троглодит  знаток 
индоссат  жирант 
несогласие  сходство 
стачка  работа 
выполнение  нарушение 
накалка  охлаждение 
корректура  ухудшение 
отечество  чужбина 
гетерия  разрозненность 
материальное благополучие  дефицит 
блюдолиз  труженик 
обретение  потеря 
злосчастие  счастье 
бесплодность  плодотворность результативность 
графство  республика 
убогость  богатство пышность 
матерость  неопытность 
небанальность  стандартность трафаретность 
экспорт  импорт ввоз 
терпкость  жесткость 
эксплуатация  освобождение свобода 
молниеносность  медленность 
обособленность  связь соединение союз 
изящество  простота 
реальность  фантазия фантастика 
юго-запад  северо-восток 
исправность  ложь 
тусклость  яркость 
разорщик  созидатель 
ханжество  правдивость 
рыцарь  мещанин 
высота  низина 
пристрастность  многосторонность 
важность  скромность 
устройство  расформирование реорганизация роспуск увольнение 
жар  прохлада холод 
одержимость  падение 
атака  оборона перемирие 
мультипликация  уменьшение 
любомудрец  невежда 
прочность  бедность 
предположительность  точность 
конфиденциальность  гласность доступность 
захватничество  миролюбие 
возникновение  пропажа утрата уход 
сокращенность  многословность 
диспропорция  соразмерность 
паритет  неравноправие 
усовершенствование  регресс ухудшение 
плевое дело  множество 
вертикаль  горизонталь 
гармоничность  сбивчивость сумбур сумбурность 
въедливость  общность 
видение  слепота 
неопытность  умудренность 
шпиль  фундамент 
наладка  поломка разборка ухудшение 
федерация  разрозненность 
фокус  окраина периферия 
идеалист  материалист 
непредвзятость  необъективность тенденциозность 
иды  периферия 
соболезнование  равнодушие 
недоброкачественность  пригодность 
эффективность  ирреальность 
разум  глупость дурь инстинкт сердце чувство 
надбавка  юг 
вариация  конвергенция 
ночь  день 
стыд  бесстыдность бесстыдство 
звучание  тишина 
жизнестойкость  недолговечность 
выпускник  абитуриент 
неуч  профессионал эрудит 
упорядоченность  хаотичность 
криводушие  искренность 
эскалация  уменьшение 
многоопытность  неискушенность 
убирание  назначение 
малодушие  бесстрашие героизм геройство дерзновенность доблесть мужество неустрашимость отвага смелость храбрость 
дословность  размытость 
круглый невежда  эрудит 
умозаключение  посылка 
неувязка  точность 
невежественность  грамотность 
общедоступность  невразумительность недостижимость неясность 
обожествление  поругание презрение 
теплынь  холод 
продление  сокращение 
эпохальность  неважность 
гармония  неблагозвучие беспорядок 
натиск  отпор 
трудность  легкость 
самоутверждение  самоотрицание 
влага  сухость 
смак  бессмыслица 
вогнутость  выпуклость 
интронизация  разрушение 
нерадивость  аккуратность 
эпопт  противник 
неуплата  оплата плата 
сопревание  соединение 
безуспешность  результативность 
ученица  воспитательница 
живучесть  недолговечность неустойчивость 
авуар  заем 
труженик  бездельник лентяй лодырь тунеядец 
включение  вычеркивание изъятие остановка отсоединение размыкание стирание удаление устранение 
дефект  достоинство исправность совершенство 
культ  неуважение поругание презрение 
постоянность  нестабильность 
множественность  однозначность 
возвышенность  низина 
штатский  военный 
характерность  общность 
ультра  новатор 
выворот  лицо 
худощавость  толщина 
слабое место  изобилие 
перспектива  прошлое факты 
достижение  поражение провал 
распрямление  сгибание колебание 
минор  мажор 
миопия  дальновидность 
обтекаемость  однозначность 
гордость  смирение стыд 
наивность  недоверчивость 
грузоотправитель  получатель 
болезненность  норма 
созидание  разрушение 
запрещение  разрешение 
искренность  фальшь скрытность притворство лживость лицемерие криводушие лукавство 
подлость  возвышенность 
книжность  конкретность 
наполненность  бессодержательность 
забывание  запечатление фиксация 
тыл  фронт 
обрат  прибытие 
присоединение  выключение 
беззащитность  защищенность 
холл  выход 
подправка  порча 
дешевизна  дороговизна 
неразрывность  отделимость 
благоприятность  непродуктивность 
неуязвимость  восприимчивость 
фантом  реальность 
растяжение  починка 
милитарист  пацифист 
нечувствительность  восприимчивость 
новатор  консерватор рутинер 
опутывание  разъединение 
неестественность  заурядность нормальность обычность 
удваивание  ослабление 
сторонник  противник 
лицемерие  искренность правдивость 
открытость  замкнутость 
адюльтер  верность 
соучастник  конкурент 
неподкупность  продажность 
ужесточение  легкость 
изобличение  покрывательство 
сыгранность  раскоординация 
понос  ожидаемость 
соответчик  истец 
общество  затемнение 
эвентуальность  невозможность 
утихание  возникновение 
маловажность  существенность 
бесчисленность  исчислимость 
полицейское государство  демократия 
улыбка  слезы 
выговор  поощрение 
разочарованность  воодушевление 
перемол  укрупнение 
консерватор  реформатор 
трансмиттер  получатель приемник 
показание  опровержение 
мышца  союзник 
недоделанность  сухость 
крик  молчание шёпот 
завышение  занижение 
разор  польза 
молчание  крик ответ 
переполох  спокойствие 
крупитчатость  ровность 
левый  правый правый 
сошествие  восхождение 
ленца  добросовестность 
уравновешение  раскачивание 
невольность  преднамеренность 
низ  верх верхушка вершина потолок 
изолятор  проводник 
дотирование  вред 
нежизнеспособность  жизненность 
использование  нарушение 
неприятель  союзник 
обличение  сокрытие укрытие 
уважение  презрение 
архаизм  неологизм 
зажиточность  бедность неадекватность 
чистота  грязь 
элементарность  сложность 
мудрец  дурак глупец невежда 
недоброжелательство  дружественность 
привоз  вывоз 
непредвиденность  предсказуемость 
буднишность  праздничность 
червяк  значительность 
объединение  рассеивание 
импорт  экспорт 
подстыковка  отключение 
известность  непопулярность 
отсос  успех 
затихание  разгорание 
фальсификация  достоверность 
приезд  отъезд 
колебание  выравнивание неизменяемость несгибаемость прочность стабилизация стабильность убежденность уверенность уравновешивание устойчивость 
тождественность  несхожесть отличие 
модификация  застой 
пограничность  удалённость 
нажива  вред 
неполноценность  правильность 
тоска  радость веселье 
отсеивание  привлечение 
скупка  продажа 
наметание  ломка 
наместник  предшественник 
